url,status_code
http://jefferson.village.virginia.edu/~jmu2m/cse/CSEguidelines.html,unknown
http://www.wwp.brown.edu/encoding/training/lg/page1.html,unknown
http://beehive.temporalimage.com,unknown
nestlealand.uni-muester.de,unknown
http://pigeon.cch.kcl.ac.uk/docs/papers/pbe-leeds/,unknown
TAPOR.TOOLS,unknown
T.TOOLS,unknown
T.tools,unknown
T.tools,unknown
T.tools,unknown
T.tools,unknown
T.tools,unknown
T.tools,unknown
T.tools,unknown
T.tools,unknown
T.tools,unknown
T.tools,unknown
T.tools,unknown
http://tactweb.humanities.mcmaster.ca/,unknown
T.tools,unknown
T.tools,unknown
T.tools,unknown
T.tools,unknown
http://www.sbl-site2.org/Overlap/).,unknown
http://jefferson.village.virginia.edu/~jmu2m/cse/CSEguidelines.html,unknown
http://www.catseye.mb.ca/esoteric/,unknown
http://www.oai.grainger.uiuc.edu,unknown
http://MetaScholar.org,unknown
http://digidev.library.ucla.edu/oaisheetmusic/.,unknown
MetaArchive.Org,unknown
AmericanSouth.Org,unknown
http://MetaScholar.Org,unknown
http://www.pro.gov.uk,unknown
http://www.A2A.pro.gov.uk,unknown
http://www.A2A.pro.gov.uk,unknown
http://www.A2A.pro.gov.uk,unknown
http://clover.slavic.pitt.edu/~djb/achallc97.html,unknown
http://www.hit.uib.no/claus/mlcd/papers/texmecs.html,unknown
http://coli.lili.uni-bielefeld.de/Texttechnologie/Forschergruppe/prolog/allc2002-witt.html,unknown
Gutenberg.de,unknown
arXiv.org,unknown
arXiv.org,unknown
http://linguist.emich.edu/%7Eworkshop/E-MELD.html,unknown
http://emeld.douglass.arizona.edu:8080/group.html,unknown
http://www.dml.indiana.edu/metadata/index.html,unknown
http://eprg.isrl.uiuc.edu/markuptheory/,unknown
http://www.canoo.net,unknown
http://b.die.supsi.ch/~pedrazz/jacaranda.,unknown
http://ldc.upenn.edu/exploration/expl2000/papers/michailovsky/index.html.,unknown
http://www.hit.uib.no/allc/finneran.pdf,unknown
seit.pl,unknown
http://barkov.uchicago.edu/talks/ACH2003/.,unknown
http://www2.arts.gla.ac.uk/allcach2k/Programme/session1.html,unknown
namehttp://www.w3.org/TR/REC-xml#NT-Name),unknown
http://www.rdues.liv.ac.uk/icame2003/,unknown
http://www.chass.utoronto.ca/epc/chwp/bradley/index.html,unknown
http://ota.ahds.ac.uk/publications/ID_AHDS-Publications-Collections-Policy.html,unknown
http://ota.ahds.ac.uk,unknown
et.al,unknown
http://www.cogsci.princeton.edu/~wn/,unknown
www.tei-c.org,unknown
shot.holycross.edu/projects/TextServer/,unknown
www.stoa.org/demos/,unknown
http://shot.holycross.edu/projects/TextServer,unknown
http://www.hit.uib.no/mufi.,unknown
http://dante.di.unipi.it/ricerca/,unknown
http://web.archive.org/web/20040903094216/http://www.hum.gu.se/allcach2004/AP/html/prop39.html,unknown
http://web.archive.org/web/20040903094213/http://www.hum.gu.se/allcach2004/AP/html/prop40.html,unknown
http://web.archive.org/web/20040903094313/http://www.hum.gu.se/allcach2004/AP/html/prop77.html,unknown
http://web.archive.org/web/20040903094436/http://www.hum.gu.se/allcach2004/AP/html/prop131.html,unknown
http://web.archive.org/web/20040903094154/http://www.hum.gu.se/allcach2004/AP/html/prop9.html,unknown
http://metamedia.mit.edu,unknown
http://web.archive.org/web/20040903094440/http://www.hum.gu.se/allcach2004/AP/html/prop132.html,unknown
http://www.rc.umd.edu:7000/,unknown
http://web.archive.org/web/20040903094343/http://www.hum.gu.se/allcach2004/AP/html/prop98.html,unknown
"http://g3.spraakdata.gu.se/nn/,",unknown
http://web.archive.org/web/20040903094201/http://www.hum.gu.se/allcach2004/AP/html/prop53.html,unknown
http://web.archive.org/web/20040903094052/http://www.hum.gu.se/allcach2004/AP/html/prop63.html,unknown
http://web.archive.org/web/20040903094404/http://www.hum.gu.se/allcach2004/AP/html/prop112.html,unknown
http://web.archive.org/web/20040903094502/http://www.hum.gu.se/allcach2004/AP/html/prop151.html,unknown
"http://www.etnequal.it/docs/sintesi_dati_Extracommunication%20ver%205.0.pdf,",unknown
http://www.etnequal.it/docs/sintesi_dati_Extracommunication%20ver%205.0.pdf,unknown
http://web.archive.org/web/20040903094323/http://www.hum.gu.se/allcach2004/AP/html/prop84.html,unknown
http://mitupv.mit.edu,unknown
http://web.archive.org/web/20040903094427/http://www.hum.gu.se/allcach2004/AP/html/prop129.html,unknown
http://web.archive.org/web/20040903094229/http://www.hum.gu.se/allcach2004/AP/html/prop50.html,unknown
http://it.coe.uga.edu/~lrieber/play.html,unknown
http://barkov.uchicago.edu/talks/TEI2002/,unknown
http://barkov.uchicago.edu/talks/ACH2002/rich-metadata.html,unknown
http://www.alexanderst.com/,unknown
http://coral.lili.uni-bielefeld.de/LangDoc/EGA/Presentations/ubicorpus_lrec2002.pdf,unknown
http://jefferson.village.virginia.edu/%7Ebcr/salem/salem.html,unknown
http://jefferson.village.virginia.edu/vshadow2/,unknown
http://www.englund.lu.se/research/corpus/corpus/espc.html,unknown
www.xmldb.org,unknown
www.w3.org/TR/xpath,unknown
http://wiki.org/wiki.cgi?WhatIsWiki,unknown
www.tei-c.org,unknown
http://www.obinary.com/en/magnolia.html,unknown
http://wilde.acs.its.nyu.edu/sanger/documents/search.php,unknown
www.uoc.edu/in3/hermeneia,unknown
http://beowulf.engl.uky.edu/~kiernan/eBoethius/inlad.htm,unknown
http://www.oclc.org/research/projects/pmwg/presmeta_wp.pdf,unknown
http://www.oclc.org/research/projects/pmwg/pm_framework.pdf,unknown
ftp://ftp.rlg.org/pub/archtf/final-report.pdf,unknown
http://ota.ahds.ac.uk/documents/creating/chap6.html,unknown
de.prae.h.be,unknown
http://archimedes.fas.harvard.edu,unknown
http://archimedes.fas.harvard.edu/cgi-bin/donatus/.,unknown
http://www.xrce.xerox.com/.,unknown
www.lmnl.org,unknown
http://pigeon.cch.kcl.ac.uk/docs/papers/georgia1/.,unknown
http://web.archive.org/web/20040903094209/http://www.hum.gu.se/allcach2004/AP/html/prop36.html,unknown
ftp://ftp.research.microsoft.com/pub/tr/,unknown
plos.org,unknown
arxiv.org,unknown
hjournal.org,unknown
creativecommons.org,unknown
hypernietzsche.org,unknown
rtp.nc.us:8080/newsrel2002/mcgannwebcast.,unknown
w.kcl.ac.uk/humanities/cch/jdb/papers/ken,unknown
ttp://www.jisc.ac.uk/index.cfm?name=news_,unknown
learningspaces.org,unknown
Edutools.info,unknown
nshare.its.psu.edu/main/,unknown
u.edu/egads2/navajo/entry?nish,unknown
u.edu/egads2/navajo/entry?kaad,unknown
case.edu/affil/tibet/index.htm,unknown
i-c.org/P4X/TS.html,unknown
i-c.org/P4X/DI.html,unknown
l.edu/iris/dpworkshop/working/terminology/o,unknown
www.tei-c.org/P4X/TS.html,unknown
www.tei-c.org/P4X/DI.html,unknown
ttp://www.greenstone.org,unknown
ttp://www.loc.gov/standards/mets,unknown
www.library.cornell.edu/iris/dpworkshop/,unknown
ssdoo.gsfc.nasa.gov/nost/wwwclassic/docum,unknown
docsouth.unc.edu,unknown
p://www.w3.org/TR/1999/REC-xslt-19991116,unknown
h.unc.edu,unknown
106.ibm.com/developerworks/web/library/xsvgint/,unknown
md.edu/hcil/research/visualization.shtml,unknown
http://mith2.umd.edu/prod,unknown
http://www.sims.berkeley.edu/ho,unknown
cs.toronto.edu/~roweis/lle/papers/lleintr,unknown
d.edu.au/oztexts/anderson.html/,unknown
http://www.a2a.org.uk,unknown
istserv.loc.gov/cgi-bin/wa?A2=ind0406&L=e,unknown
www.tei-c.org/P4X,unknown
xml.com,unknown
wp.brown.edu/encoding/research/NASSR/WWP.,unknown
wp.brown.edu/encoding/research/NASSR/WWP.,unknown
www.ifla.org/VII/s13/frbr/frbr.htm,unknown
criticaldance.com,unknown
ww.criticaldance.com/reviews/2002/sfb-oth,unknown
http://alg.ncsa.uiuc.edu/do/tools/d2k,unknown
http://www.news.uiuc.edu/news/04/1025me,unknown
g-digital.com/2004/3/Eskelinen/index.htm,unknown
http://www.mulberrytech.co,unknown
www.clir.org/,unknown
www.clir.org/fellowships/postdoc/postdoc,unknown
w.iath.virginia.edu/,unknown
ww.libraryjournal.com/article/CA474993,unknown
www.clir.org/fellowships/postdoc/postdo,unknown
w.clir.org/fellowships/postdoc/detail.htm,unknown
aryjournal.com/article/CA474993,unknown
l.com/article/CA302413,unknown
peel.library.ualberta.ca/,unknown
